Student_ID,Major_Category,Pre_GPA,GenAI_Hours,Study_Hours,Post_GPA,Skill_Retention_Score,Anxiety_Level_During_Exams,Burnout_Risk_Level,GPA_Improvement,AI_Usage,Study_AI_Ratio
101581,STEM,3.48,1,19.47,3.72,76.73,7.0,Low,0.24,Light,19.47
101603,STEM,2.94,12,10.93,3.18,79.43,7.0,High,0.24,Moderate,0.91
101655,STEM,2.85,5,17.75,3.09,83.7,1.0,High,0.24,Light,3.55
101659,Humanities,3.76,15,1.0,4.00,54.61,4.0,High,0.24,Heavy,0.07
101672,Medical,3.76,15,6.1,4.00,69.81,4.0,Medium,0.24,Heavy,0.41
101836,Business,1.60,1,12.91,1.84,68.71,3.0,Medium,0.24,Light,12.91
101844,Business,3.56,6,11.28,3.80,80.25,1.0,Medium,0.24,Light,1.88
101849,Medical,2.15,4,6.41,2.39,87.25,5.0,Medium,0.24,Light,1.6
101873,Business,3.05,37,10.75,3.29,62.53,8.0,High,0.24,Heavy,0.29
101926,STEM,3.49,10,11.27,3.73,76.5,3.0,Medium,0.24,Moderate,1.13
101935,Business,3.27,6,17.53,3.51,82.74,4.0,Medium,0.24,Light,2.92
102011,STEM,2.88,11,11.96,3.12,100.0,2.0,Medium,0.24,Moderate,1.09
102045,Arts,3.01,10,13.33,3.25,85.78,5.0,Medium,0.24,Moderate,1.33
102046,Business,3.22,3,7.19,3.46,62.68,8.0,Low,0.24,Light,2.4
102143,Business,3.25,9,14.87,3.49,89.85,6.0,Medium,0.24,Moderate,1.65
102207,STEM,3.38,2,12.46,3.62,75.41,6.0,High,0.24,Light,6.23
102296,STEM,2.93,8,10.16,3.17,88.52,5.0,Low,0.24,Moderate,1.27
102324,Humanities,2.40,3,15.46,2.64,79.91,2.0,High,0.24,Light,5.15
102332,STEM,2.87,8,8.64,3.11,69.83,7.0,Medium,0.24,Moderate,1.08
102398,STEM,3.45,7,14.38,3.69,74.45,3.0,High,0.24,Moderate,2.05
102437,Humanities,2.99,3,14.89,3.23,77.98,6.0,Medium,0.24,Light,4.96
102488,Arts,3.65,3,9.1,3.89,67.4,3.0,Medium,0.24,Light,3.03
102499,Medical,3.76,0,15.36,4.00,85.92,4.0,Low,0.24,Light,
102551,Humanities,2.74,10,2.35,2.98,56.4,5.0,High,0.24,Moderate,0.24
102651,STEM,3.27,8,12.22,3.51,83.16,1.0,Medium,0.24,Moderate,1.53
102664,Business,2.75,12,14.11,2.99,74.43,5.0,High,0.24,Moderate,1.18
102665,Business,2.70,0,19.31,2.94,74.45,4.0,Medium,0.24,Light,
102752,Business,3.63,13,12.37,3.87,82.66,4.0,Medium,0.24,Heavy,0.95
102794,STEM,2.62,2,12.44,2.86,93.92,7.0,Low,0.24,Light,6.22
102799,Medical,2.41,14,6.33,2.65,57.92,3.0,High,0.24,Heavy,0.45
102856,Business,3.33,2,14.33,3.57,67.81,3.0,Low,0.24,Light,7.17
102979,Business,3.27,9,13.84,3.51,69.34,2.0,Low,0.24,Moderate,1.54
102991,STEM,3.32,1,8.88,3.56,89.85,6.0,Low,0.24,Light,8.88
103013,Humanities,3.48,5,11.47,3.72,65.57,1.0,Medium,0.24,Light,2.29
103078,STEM,3.44,12,14.57,3.68,77.19,3.0,Low,0.24,Moderate,1.21
103085,Business,3.13,0,17.63,3.37,74.41,1.0,Low,0.24,Light,
103115,STEM,2.74,0,5.7,2.98,87.36,1.0,Low,0.24,Light,
103179,Arts,2.65,1,13.52,2.89,84.37,6.0,Medium,0.24,Light,13.52
103205,Business,2.73,1,15.55,2.97,76.82,4.0,Low,0.24,Light,15.55
103315,STEM,3.76,3,4.56,4.00,86.85,5.0,High,0.24,Light,1.52
103331,Business,3.76,0,16.0,4.00,64.82,8.0,Low,0.24,Light,
103370,Business,1.89,1,16.19,2.13,52.48,5.0,Low,0.24,Light,16.19
103389,STEM,3.72,1,15.35,3.96,78.17,3.0,Medium,0.24,Light,15.35
103553,Business,2.99,10,16.96,3.23,84.05,8.0,Medium,0.24,Moderate,1.7
103582,Arts,3.05,4,8.11,3.29,94.4,1.0,Medium,0.24,Light,2.03
103643,Humanities,3.32,19,12.02,3.56,79.23,6.0,Medium,0.24,Heavy,0.63
103644,Humanities,3.36,1,9.82,3.60,71.02,6.0,Medium,0.24,Light,9.82
103645,Arts,3.37,1,8.7,3.61,66.17,4.0,Medium,0.24,Light,8.7
103654,STEM,3.29,6,11.57,3.53,54.07,6.0,Low,0.24,Light,1.93
103677,STEM,2.05,0,7.6,2.29,65.62,4.0,Low,0.24,Light,
103684,STEM,3.02,40,15.87,3.26,77.39,4.0,Medium,0.24,Heavy,0.4
103767,Business,3.55,18,10.05,3.79,92.22,4.0,Medium,0.24,Heavy,0.56
103772,Medical,2.15,25,13.56,2.39,62.2,5.0,High,0.24,Heavy,0.54
103847,Medical,2.61,5,6.58,2.85,53.77,5.0,Medium,0.24,Light,1.32
103940,Humanities,3.76,4,24.01,4.00,55.64,1.0,Low,0.24,Light,6.0
104121,STEM,3.44,3,5.99,3.68,82.72,3.0,Low,0.24,Light,2.0
104187,STEM,3.11,1,11.62,3.35,66.23,2.0,Low,0.24,Light,11.62
104203,STEM,3.76,4,25.51,4.00,87.05,2.0,Medium,0.24,Light,6.38
104354,Medical,2.49,0,14.85,2.73,67.45,6.0,Medium,0.24,Light,
104360,STEM,1.59,40,2.96,1.83,51.51,10.0,High,0.24,Heavy,0.07
104440,STEM,2.77,3,8.57,3.01,79.23,7.0,Medium,0.24,Light,2.86
104480,Business,3.76,5,6.14,4.00,86.17,7.0,Medium,0.24,Light,1.23
104511,STEM,2.75,1,10.1,2.99,75.58,6.0,Medium,0.24,Light,10.1
104708,STEM,3.31,9,8.22,3.55,72.22,4.0,Low,0.24,Moderate,0.91
104846,Humanities,3.71,12,11.71,3.95,74.09,3.0,Low,0.24,Moderate,0.98
104880,Arts,2.73,3,13.23,2.97,100.0,6.0,Low,0.24,Light,4.41
105174,STEM,2.99,28,22.14,3.23,59.9,6.0,High,0.24,Heavy,0.79
105193,Arts,3.33,12,15.93,3.57,80.12,7.0,Low,0.24,Moderate,1.33
105209,Arts,3.18,10,11.34,3.42,78.7,5.0,Medium,0.24,Moderate,1.13
105237,Business,3.65,1,11.55,3.89,76.39,5.0,Medium,0.24,Light,11.55
105238,Business,2.65,10,1.0,2.89,53.8,5.0,Medium,0.24,Moderate,0.1
105262,Arts,2.94,2,2.35,3.18,78.63,3.0,Medium,0.24,Light,1.18
105275,Humanities,3.31,12,4.76,3.55,71.14,2.0,High,0.24,Moderate,0.4
105287,Medical,2.93,4,4.29,3.17,60.89,3.0,Low,0.24,Light,1.07
105310,Medical,2.73,4,15.25,2.97,96.32,9.0,Low,0.24,Light,3.81
105314,Medical,3.10,8,10.31,3.34,76.8,5.0,Low,0.24,Moderate,1.29
105407,Medical,3.44,0,10.34,3.68,64.77,5.0,Medium,0.24,Light,
105414,STEM,3.13,11,7.06,3.37,68.89,5.0,Low,0.24,Moderate,0.64
105441,Humanities,3.44,11,10.49,3.68,84.58,7.0,Medium,0.24,Moderate,0.95
105516,Arts,3.17,0,11.93,3.41,44.78,2.0,Low,0.24,Light,
105524,Humanities,2.75,7,12.55,2.99,76.61,1.0,Low,0.24,Moderate,1.79
105562,Medical,2.98,1,4.87,3.22,34.68,3.0,Low,0.24,Light,4.87
105687,Business,3.72,2,6.71,3.96,66.71,4.0,Low,0.24,Light,3.36
105693,Business,1.80,2,13.9,2.04,71.65,3.0,High,0.24,Light,6.95
105799,Medical,3.13,2,12.35,3.37,87.09,2.0,Medium,0.24,Light,6.18
105953,Arts,3.21,3,6.31,3.45,92.29,6.0,Medium,0.24,Light,2.1
105976,Medical,3.25,2,18.8,3.49,64.8,3.0,Low,0.24,Light,9.4
106096,Business,2.93,17,9.66,3.17,74.37,6.0,Medium,0.24,Heavy,0.57
106250,STEM,2.75,2,15.03,2.99,88.25,1.0,High,0.24,Light,7.52
106296,Medical,3.35,2,20.45,3.59,80.19,6.0,Low,0.24,Light,10.23
106337,STEM,2.72,10,16.35,2.96,68.78,5.0,High,0.24,Moderate,1.64
106380,Medical,3.24,3,19.25,3.48,83.94,7.0,Medium,0.24,Light,6.42
106384,STEM,2.88,9,10.45,3.12,56.68,1.0,High,0.24,Moderate,1.16
106393,Arts,3.76,1,15.85,4.00,76.07,5.0,Low,0.24,Light,15.85
106395,Medical,3.05,14,14.45,3.29,96.24,9.0,Low,0.24,Heavy,1.03
106401,Business,3.65,5,9.95,3.89,88.01,4.0,Low,0.24,Light,1.99
106462,Business,3.19,0,12.22,3.43,65.13,3.0,Low,0.24,Light,
106465,Arts,3.03,4,10.49,3.27,72.57,5.0,Medium,0.24,Light,2.62
106487,Medical,3.52,5,15.99,3.76,58.51,3.0,Medium,0.24,Light,3.2
106534,STEM,3.14,1,10.1,3.38,48.66,3.0,Low,0.24,Light,10.1
106706,Arts,3.76,1,10.45,4.00,59.41,2.0,Medium,0.24,Light,10.45
106827,STEM,3.36,0,14.87,3.60,59.63,3.0,Low,0.24,Light,
106845,Medical,3.76,7,10.76,4.00,74.65,3.0,Medium,0.24,Moderate,1.54
106922,STEM,2.55,10,14.54,2.79,62.34,8.0,High,0.24,Moderate,1.45
107036,Arts,3.19,6,9.51,3.43,74.7,3.0,Medium,0.24,Light,1.59
107053,Medical,2.76,7,17.82,3.00,53.59,4.0,Medium,0.24,Moderate,2.55
107055,Humanities,3.65,8,10.33,3.89,90.07,6.0,Low,0.24,Moderate,1.29
107076,STEM,3.00,14,10.63,3.24,89.46,7.0,Medium,0.24,Heavy,0.76
107108,STEM,3.72,5,16.56,3.96,94.43,6.0,Medium,0.24,Light,3.31
107110,Humanities,3.49,3,14.17,3.73,91.33,5.0,Low,0.24,Light,4.72
107129,Humanities,2.48,3,3.73,2.72,53.65,1.0,Medium,0.24,Light,1.24
107201,Humanities,2.95,1,19.42,3.19,73.98,2.0,Low,0.24,Light,19.42
107249,STEM,3.76,17,14.34,4.00,95.23,4.0,High,0.24,Heavy,0.84
107277,Humanities,2.18,6,10.97,2.42,79.66,1.0,Medium,0.24,Light,1.83
107298,Humanities,3.06,12,12.57,3.30,87.04,7.0,Medium,0.24,Moderate,1.05
107313,Humanities,3.45,4,9.83,3.69,82.96,7.0,Medium,0.24,Light,2.46
107330,Business,3.37,5,10.95,3.61,78.32,7.0,Low,0.24,Light,2.19
107344,Humanities,2.77,15,8.14,3.01,60.91,1.0,High,0.24,Heavy,0.54
107411,Humanities,3.15,13,15.51,3.39,73.76,4.0,Low,0.24,Heavy,1.19
107494,Business,3.34,2,15.83,3.58,58.49,5.0,Medium,0.24,Light,7.92
107572,Business,3.63,40,13.03,3.87,53.22,8.0,High,0.24,Heavy,0.33
107627,Medical,3.15,8,7.45,3.39,67.89,7.0,Low,0.24,Moderate,0.93
107638,Business,3.76,7,19.25,4.00,67.22,1.0,Medium,0.24,Moderate,2.75
107678,Medical,3.65,2,16.82,3.89,99.9,2.0,Low,0.24,Light,8.41
107846,Business,3.76,2,24.17,4.00,97.77,1.0,Low,0.24,Light,12.09
107848,Humanities,3.51,1,15.88,3.75,55.25,5.0,Medium,0.24,Light,15.88
107887,STEM,2.13,14,8.18,2.37,54.46,8.0,High,0.24,Heavy,0.58
107944,STEM,3.61,32,1.0,3.85,75.5,10.0,High,0.24,Heavy,0.03
107975,Business,3.76,3,18.76,4.00,87.82,5.0,High,0.24,Light,6.25
108149,Humanities,2.75,4,12.61,2.99,89.74,1.0,Low,0.24,Light,3.15
108183,STEM,2.99,13,12.45,3.23,85.23,8.0,High,0.24,Heavy,0.96
108205,Business,3.23,13,5.66,3.47,74.82,3.0,High,0.24,Heavy,0.44
108219,STEM,3.25,3,17.16,3.49,85.99,2.0,High,0.24,Light,5.72
108241,Business,3.50,6,9.0,3.74,93.58,4.0,High,0.24,Light,1.5
108255,Humanities,3.76,22,7.88,4.00,60.03,6.0,Medium,0.24,Heavy,0.36
108287,Humanities,2.89,10,10.01,3.13,74.46,2.0,Medium,0.24,Moderate,1.0
108294,STEM,2.79,7,4.66,3.03,59.43,6.0,Medium,0.24,Moderate,0.67
108321,STEM,3.23,13,5.98,3.47,57.88,3.0,High,0.24,Heavy,0.46
108328,Medical,3.63,8,14.61,3.87,100.0,4.0,Low,0.24,Moderate,1.83
108448,Arts,3.76,5,15.74,4.00,63.66,3.0,High,0.24,Light,3.15
108487,STEM,2.87,1,6.7,3.11,82.36,1.0,Low,0.24,Light,6.7
108513,Business,3.56,1,14.46,3.80,78.14,4.0,Low,0.24,Light,14.46
108589,Business,2.41,15,12.27,2.65,88.23,6.0,Low,0.24,Heavy,0.82
108657,Business,3.33,5,9.08,3.57,76.0,1.0,Low,0.24,Light,1.82
108683,STEM,3.37,3,7.89,3.61,80.63,3.0,Low,0.24,Light,2.63
108787,Humanities,2.91,1,14.35,3.15,82.93,3.0,Medium,0.24,Light,14.35
108806,Arts,2.72,4,13.35,2.96,60.29,2.0,Medium,0.24,Light,3.34
108884,Humanities,3.53,7,7.85,3.77,76.76,6.0,Low,0.24,Moderate,1.12
108900,Medical,3.39,0,19.09,3.63,77.35,1.0,Low,0.24,Light,
108940,Humanities,3.54,9,9.25,3.78,52.29,7.0,Low,0.24,Moderate,1.03
108956,Humanities,3.39,6,6.38,3.63,67.17,4.0,Medium,0.24,Light,1.06
109003,Business,2.49,11,5.24,2.73,98.0,3.0,High,0.24,Moderate,0.48
109033,Humanities,1.99,0,17.01,2.23,74.96,4.0,Low,0.24,Light,
109082,Humanities,2.91,27,14.95,3.15,77.9,8.0,High,0.24,Heavy,0.55
109110,Business,3.69,20,2.38,3.93,72.36,9.0,High,0.24,Heavy,0.12
109231,Humanities,2.95,4,14.44,3.19,70.91,2.0,Medium,0.24,Light,3.61
109236,Humanities,3.76,0,5.98,4.00,100.0,1.0,Medium,0.24,Light,
109275,Business,3.08,14,13.31,3.32,96.53,3.0,High,0.24,Heavy,0.95
109277,STEM,2.86,3,5.83,3.10,72.46,3.0,Medium,0.24,Light,1.94
109352,Humanities,3.33,6,18.69,3.57,86.3,4.0,Medium,0.24,Light,3.12
109475,Medical,3.54,15,1.6,3.78,80.45,5.0,High,0.24,Heavy,0.11
109496,Humanities,2.52,2,18.36,2.76,86.87,1.0,Medium,0.24,Light,9.18
109503,Business,2.57,10,13.26,2.81,100.0,8.0,Medium,0.24,Moderate,1.33
109538,Arts,2.67,1,13.08,2.91,94.04,1.0,Low,0.24,Light,13.08
109608,Humanities,3.49,15,12.1,3.73,87.34,6.0,Medium,0.24,Heavy,0.81
109643,Humanities,2.83,7,16.95,3.07,71.92,5.0,Low,0.24,Moderate,2.42
109715,Humanities,2.82,32,7.44,3.06,55.72,10.0,High,0.24,Heavy,0.23
109814,Arts,3.18,1,16.67,3.42,100.0,6.0,High,0.24,Light,16.67
109861,Arts,3.62,0,11.51,3.86,72.19,4.0,Medium,0.24,Light,
109864,Arts,3.32,4,6.81,3.56,93.46,4.0,Low,0.24,Light,1.7
109937,Humanities,3.02,0,16.39,3.26,75.47,7.0,Medium,0.24,Light,
109965,Humanities,3.40,11,7.23,3.64,57.37,4.0,Medium,0.24,Moderate,0.66
109976,STEM,3.02,3,12.91,3.26,65.91,5.0,Low,0.24,Light,4.3
110022,STEM,3.60,40,16.41,3.84,60.71,10.0,High,0.24,Heavy,0.41
110048,STEM,3.52,15,9.73,3.76,90.28,4.0,Medium,0.24,Heavy,0.65
110094,Arts,3.26,1,14.08,3.50,39.61,4.0,Medium,0.24,Light,14.08
110130,Business,3.35,2,9.56,3.59,60.98,4.0,Medium,0.24,Light,4.78
110151,Medical,2.86,4,2.39,3.10,70.36,5.0,Low,0.24,Light,0.6
110165,Medical,3.76,2,14.29,4.00,93.58,4.0,Low,0.24,Light,7.15
110207,Arts,2.69,1,15.03,2.93,77.97,3.0,Low,0.24,Light,15.03
110235,Arts,3.07,20,14.14,3.31,94.41,10.0,High,0.24,Heavy,0.71
110295,Humanities,2.76,12,7.94,3.00,84.66,5.0,High,0.24,Moderate,0.66
110323,Medical,3.02,20,7.63,3.26,88.28,3.0,Medium,0.24,Heavy,0.38
110345,Medical,3.42,9,11.11,3.66,66.0,6.0,High,0.24,Moderate,1.23
110352,Business,3.53,4,17.35,3.77,81.05,1.0,Medium,0.24,Light,4.34
110497,Business,3.56,4,1.59,3.80,91.57,3.0,Low,0.24,Light,0.4
110567,Arts,3.41,1,16.69,3.65,67.66,1.0,Low,0.24,Light,16.69
110571,Business,3.43,3,15.05,3.67,87.14,5.0,Medium,0.24,Light,5.02
110643,Humanities,3.48,3,12.43,3.72,78.29,1.0,Medium,0.24,Light,4.14
110685,Humanities,2.39,0,3.97,2.63,68.12,2.0,Low,0.24,Light,
110725,Business,3.24,1,11.4,3.48,97.37,9.0,Medium,0.24,Light,11.4
110754,Business,2.98,1,18.22,3.22,77.7,1.0,Low,0.24,Light,18.22
110766,Business,3.16,0,8.26,3.40,80.81,4.0,Low,0.24,Light,
110814,Arts,3.09,8,12.15,3.33,100.0,3.0,Medium,0.24,Moderate,1.52
110816,Business,3.66,1,14.42,3.90,84.68,3.0,Medium,0.24,Light,14.42
110881,Humanities,3.16,1,4.45,3.40,62.23,5.0,Low,0.24,Light,4.45
110882,STEM,2.47,2,5.47,2.71,67.23,8.0,Medium,0.24,Light,2.74
110918,Humanities,3.22,1,11.96,3.46,92.6,5.0,Medium,0.24,Light,11.96
110992,Business,2.58,3,14.64,2.82,85.5,4.0,Low,0.24,Light,4.88
111004,Humanities,3.08,6,8.85,3.32,73.08,5.0,Low,0.24,Light,1.47
111097,Business,2.94,11,17.09,3.18,87.01,7.0,Low,0.24,Moderate,1.55
111110,Business,2.32,5,7.42,2.56,72.84,7.0,High,0.24,Light,1.48
111145,STEM,3.35,1,10.73,3.59,70.27,2.0,Medium,0.24,Light,10.73
111207,Arts,3.12,0,21.04,3.36,81.96,9.0,Low,0.24,Light,
111231,Arts,2.94,6,3.0,3.18,75.16,1.0,High,0.24,Light,0.5
111299,Business,3.21,1,12.6,3.45,70.7,5.0,Low,0.24,Light,12.6
111362,Humanities,3.22,3,12.34,3.46,65.56,3.0,Medium,0.24,Light,4.11
111388,Arts,3.76,10,18.27,4.00,67.25,6.0,Medium,0.24,Moderate,1.83
111394,Business,2.56,18,14.26,2.80,79.41,7.0,Low,0.24,Heavy,0.79
111395,Arts,3.48,19,6.95,3.72,99.41,5.0,High,0.24,Heavy,0.37
111418,Humanities,2.55,3,6.62,2.79,71.01,3.0,Medium,0.24,Light,2.21
111438,Medical,3.29,7,7.11,3.53,84.08,3.0,Low,0.24,Moderate,1.02
111448,Humanities,3.76,10,9.38,4.00,68.53,6.0,Medium,0.24,Moderate,0.94
111464,Humanities,3.59,9,6.65,3.83,51.93,4.0,Medium,0.24,Moderate,0.74
111553,Arts,3.69,3,11.09,3.93,86.76,4.0,Low,0.24,Light,3.7
111649,STEM,3.49,4,8.67,3.73,74.86,5.0,Medium,0.24,Light,2.17
111697,Humanities,3.52,8,5.06,3.76,80.74,4.0,Medium,0.24,Moderate,0.63
111759,Medical,3.52,0,4.3,3.76,61.99,5.0,Low,0.24,Light,
111799,STEM,3.43,8,3.16,3.67,75.02,7.0,Low,0.24,Moderate,0.4
111801,STEM,3.76,6,9.32,4.00,89.67,6.0,High,0.24,Light,1.55
111854,Arts,3.24,9,11.03,3.48,100.0,5.0,High,0.24,Moderate,1.23
111898,Medical,3.76,14,17.42,4.00,87.44,7.0,Low,0.24,Heavy,1.24
111906,Arts,3.32,25,17.11,3.56,70.87,5.0,Medium,0.24,Heavy,0.68
111921,Arts,2.93,12,4.69,3.17,77.15,5.0,High,0.24,Moderate,0.39
111941,STEM,2.24,0,14.65,2.48,95.52,6.0,Medium,0.24,Light,
112026,STEM,2.31,22,5.83,2.55,89.59,7.0,Medium,0.24,Heavy,0.27
112076,Medical,3.45,12,10.66,3.69,81.93,3.0,Medium,0.24,Moderate,0.89
112081,Business,3.12,9,10.17,3.36,65.57,8.0,Medium,0.24,Moderate,1.13
112091,STEM,3.02,4,7.58,3.26,82.86,2.0,Medium,0.24,Light,1.9
112105,Humanities,2.44,15,16.68,2.68,80.52,5.0,Low,0.24,Heavy,1.11
112138,Business,3.76,6,16.2,4.00,99.25,3.0,Low,0.24,Light,2.7
112180,STEM,2.84,0,9.78,3.08,100.0,4.0,Medium,0.24,Light,
112182,Medical,3.49,3,7.29,3.73,88.92,1.0,Low,0.24,Light,2.43
112289,STEM,3.76,12,16.41,4.00,100.0,3.0,Medium,0.24,Moderate,1.37
112341,Business,2.05,17,15.34,2.29,63.56,6.0,High,0.24,Heavy,0.9
112388,Humanities,3.08,1,11.36,3.32,63.81,5.0,Medium,0.24,Light,11.36
112389,Medical,1.36,4,9.56,1.60,67.28,3.0,High,0.24,Light,2.39
112400,STEM,2.82,18,16.18,3.06,56.63,7.0,High,0.24,Heavy,0.9
112484,STEM,3.76,14,9.4,4.00,83.78,6.0,Medium,0.24,Heavy,0.67
112490,Arts,2.73,3,14.75,2.97,89.3,2.0,Low,0.24,Light,4.92
112491,Arts,2.70,0,14.83,2.94,73.11,7.0,Low,0.24,Light,
112504,Business,3.47,6,16.87,3.71,76.7,3.0,High,0.24,Light,2.81
112505,Humanities,2.95,5,8.95,3.19,82.83,3.0,Medium,0.24,Light,1.79
112528,STEM,2.22,4,19.23,2.46,53.05,2.0,Medium,0.24,Light,4.81
112581,Arts,3.05,1,12.57,3.29,52.67,4.0,Medium,0.24,Light,12.57
112589,Medical,3.62,0,12.33,3.86,89.66,6.0,Low,0.24,Light,
112646,Humanities,3.76,0,16.77,4.00,74.1,6.0,Low,0.24,Light,
112715,STEM,3.34,29,11.41,3.58,78.25,8.0,High,0.24,Heavy,0.39
112740,Business,3.39,9,6.71,3.63,77.65,7.0,Low,0.24,Moderate,0.75
112746,STEM,3.34,6,13.93,3.58,95.9,6.0,Low,0.24,Light,2.32
112779,Arts,2.57,7,9.36,2.81,91.46,2.0,Medium,0.24,Moderate,1.34
112913,Medical,3.76,5,13.24,4.00,72.34,2.0,Low,0.24,Light,2.65
112962,STEM,2.71,8,7.46,2.95,66.05,6.0,High,0.24,Moderate,0.93
112982,Business,3.76,2,19.68,4.00,66.68,3.0,High,0.24,Light,9.84
113018,Business,3.48,5,20.37,3.72,87.03,1.0,Low,0.24,Light,4.07
113019,Humanities,2.56,4,10.76,2.80,66.82,5.0,Medium,0.24,Light,2.69
113040,Arts,3.71,1,21.79,3.95,80.34,3.0,Low,0.24,Light,21.79
113048,Business,3.26,11,11.37,3.50,84.76,4.0,Low,0.24,Moderate,1.03
113058,STEM,3.76,5,9.91,4.00,94.32,3.0,Low,0.24,Light,1.98
113066,Business,3.23,1,7.07,3.47,85.37,3.0,Low,0.24,Light,7.07
113101,STEM,3.64,7,12.37,3.88,49.65,7.0,Low,0.24,Moderate,1.77
113149,Business,3.76,7,6.66,4.00,73.9,5.0,Low,0.24,Moderate,0.95
113169,Business,3.04,15,11.52,3.28,74.0,7.0,High,0.24,Heavy,0.77
113380,Arts,3.76,5,8.99,4.00,61.26,3.0,Medium,0.24,Light,1.8
113397,Business,3.06,4,13.16,3.30,77.54,4.0,Low,0.24,Light,3.29
113402,Business,3.47,6,17.01,3.71,73.38,3.0,Low,0.24,Light,2.84
113409,STEM,2.83,0,11.37,3.07,89.41,4.0,Medium,0.24,Light,
113450,STEM,3.30,6,19.39,3.54,82.63,4.0,Low,0.24,Light,3.23
113539,Arts,3.05,3,14.24,3.29,70.73,4.0,Low,0.24,Light,4.75
113589,STEM,2.99,4,18.36,3.23,83.36,6.0,Medium,0.24,Light,4.59
113592,Humanities,2.69,1,11.62,2.93,76.91,3.0,Medium,0.24,Light,11.62
113603,Humanities,2.99,2,12.23,3.23,44.97,5.0,Low,0.24,Light,6.12
113610,Humanities,2.97,2,17.93,3.21,73.75,4.0,Medium,0.24,Light,8.97
113628,STEM,3.44,1,18.75,3.68,80.14,5.0,Low,0.24,Light,18.75
113718,Arts,2.91,0,12.07,3.15,66.48,3.0,Medium,0.24,Light,
113733,Medical,3.61,11,10.02,3.85,65.6,6.0,High,0.24,Moderate,0.91
113781,Medical,3.36,6,13.05,3.60,81.03,1.0,Low,0.24,Light,2.18
113838,Arts,3.08,11,11.99,3.32,62.23,3.0,Medium,0.24,Moderate,1.09
